chembl_id,organism,canonical_smiles,IC50 /nM
CHEMBL99852,Mus musculus,Oc1cccc(/C=C/c2cc(O)cc(O)c2)c1,30000.0
CHEMBL99679,Rattus norvegicus,c1ccc(-c2ccc(CC3CN4CCC3CC4)cc2)cc1,20500.0
CHEMBL99668,Mus musculus,N#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,4.0
CHEMBL996,Mus musculus,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,57000.0
CHEMBL99254,Rattus norvegicus,NCCNc1ccnc2cc(Cl)ccc12,21220.0
CHEMBL98,Mus musculus,O=C(CCCCCCC(=O)Nc1ccccc1)NO,4400.0
CHEMBL976,Rattus norvegicus,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,96000.0
CHEMBL9732,Mus musculus,CN1CCC[C@@H]1c1cccnc1,160000.0
CHEMBL957,Rattus norvegicus,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,100.0
CHEMBL95,Mus musculus,Nc1c2c(nc3ccccc13)CCCC2,450700.0
CHEMBL9470,Mus musculus,CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,3200.0
CHEMBL94657,Mus musculus,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,1400.0
CHEMBL9441,Rattus norvegicus,CSc1ccc(NC2=NCCN2)cc1,173900.0
CHEMBL939,Rattus norvegicus,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,1980.0
CHEMBL92129,Rattus norvegicus,C[n+]1c2ccccc2cc2[n-]c3ccccc3c21.Cl,1120.0
CHEMBL917,Rattus norvegicus,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,23900.0
CHEMBL91187,Rattus norvegicus,N=C(N)c1cccc(OCc2cccc([N+](=O)[O-])c2)c1,78900000.0
CHEMBL91153,Mus musculus,COc1ccc(-c2cc(=O)c3ccccc3o2)cc1OC,39680.0
CHEMBL90971,Rattus norvegicus,N=C(N)c1cccc(OCc2ccccc2)c1,156000000.0
CHEMBL89828,Mus musculus,C=CCc1ccc(OC)c(-c2ccc(OC)c(CC=C)c2)c1,100000.0
CHEMBL89700,Mus musculus,C=CCc1ccc(O)c(-c2ccc(OC)c(CC=C)c2)c1,27000.0
CHEMBL897,Mus musculus,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,3020.0
CHEMBL893,Mus musculus,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,16600.0
CHEMBL891,Mus musculus,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,30900.0
CHEMBL865,Ovis aries,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,100000.0
CHEMBL85059,Mus musculus,Cc1cc(C)cc(S(=O)(=O)c2c(C(N)=O)[nH]c3ccc(Cl)cc23)c1,500000.0
CHEMBL849,Rattus norvegicus,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,82250.0
CHEMBL836,Mus musculus,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,1.8
CHEMBL83527,Mus musculus,COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1,12200.0
CHEMBL83103,Rattus norvegicus,c1cncc(-c2nc3ccccc3[nH]2)c1,199526.23
CHEMBL83,Mus musculus,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,11400.0
CHEMBL8260,Mus musculus,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,29810.0
CHEMBL82293,Rattus norvegicus,CCCCCCCCCCCCCCCC(=O)O,209000.0
CHEMBL822,Mus musculus,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,88000.0
CHEMBL819,Mus musculus,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,35000.0
CHEMBL81421,Mus musculus,Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,73000.0
CHEMBL81,Mus musculus,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,500.0
CHEMBL808,Rattus norvegicus,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,100.0
CHEMBL806,Rattus norvegicus,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,57.6
CHEMBL8,Mus musculus,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,200000.0
CHEMBL7889,Mus musculus,CC(=N)NCCCC[C@H](N)C(=O)O,200000.0
CHEMBL7839,Mus musculus,CCCCCCCCCCCC(=O)c1c(O)cc(C)oc1=O,90300.0
CHEMBL7825,Mus musculus,CCCCCCCCCC(=O)c1c(O)cc(C)oc1=O,134100.0
CHEMBL78150,Rattus norvegicus,CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,970.0
CHEMBL78033,Rattus norvegicus,c1cc(-c2ccc(NC3=NCCN3)cc2)ccc1NC1=NCCN1,104000.0
CHEMBL78010,Rattus norvegicus,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1,20200.0
CHEMBL77966,Mus musculus,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(OC)c(OC)c3)oc2c1,100000.0
CHEMBL77852,Rattus norvegicus,O=C(CN1CCCN(C(=O)OCc2ccccc2)C1)OCc1ccccc1,89000.0
CHEMBL77810,Rattus norvegicus,N=C(N)NCCCN(CCNC(=N)N)CCc1ccccc1,199000.0
CHEMBL77686,Mus musculus,COc1ccc(-c2oc3cc(OC)cc(O)c3c(=O)c2OC)cc1,100000.0
CHEMBL77670,Rattus norvegicus,CC(C)(C)OC(=O)N1CCN(C(=O)OC(C)(C)C)C1=Nc1ccc(S(=O)(=O)c2ccc(N=C3N(C(=O)OC(C)(C)C)CCN3C(=O)OC(C)(C)C)cc2)cc1,56400.0
CHEMBL77647,Rattus norvegicus,O=C(NCCCN(CCNC(=O)OCc1ccccc1)CCc1c[nH]c2ccccc12)OCc1ccccc1,7800.0
CHEMBL77633,Rattus norvegicus,N=C(N)Nc1ccc(Cc2ccc(NC(=N)N)cc2)cc1,2800.0
CHEMBL77596,Rattus norvegicus,NCCCN(CCN)CCc1ccccc1,214000.0
CHEMBL76688,Mus musculus,CC(C)(C)C(=O)Oc1ccc(S(=O)(=O)Nc2ccccc2C(=O)NCC(=O)O)cc1,100000.0
CHEMBL76505,Rattus norvegicus,C(CCCCNC1=NCCN1)CCCCNC1=NCCN1,16000.0
CHEMBL76504,Rattus norvegicus,C(CCCCCCNC1=NCCN1)CCCCCNC1=NCCN1,2350.0
CHEMBL7630,Mus musculus,CCCCCC(=O)c1c(O)cc(C)oc1=O,200000.0
CHEMBL76,Mus musculus,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,90920.0
CHEMBL75849,Rattus norvegicus,CC(=O)OCCN(CCCNC(=O)OCc1ccccc1)CCNC(=O)OCc1ccccc1,191000.0
CHEMBL75847,Rattus norvegicus,O=C(NCCCN(CCO)CCNC(=O)OCc1ccccc1)OCc1ccccc1,116000.0
CHEMBL7568,Oryctolagus cuniculus,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,10000.0
CHEMBL75538,Rattus norvegicus,O=C(c1ccc(Br)cc1)c1ccc(Br)cc1,244000.0
CHEMBL75414,Rattus norvegicus,CC(C)(C)OC(=O)N1CCN(C(=O)OC(C)(C)C)C1=Nc1ccc(Nc2ccc(N=C3N(C(=O)OC(C)(C)C)CCN3C(=O)OC(C)(C)C)cc2)cc1,9800.0
