chembl_id;organism;canonical_smiles;AUC /ng.hr.mL-1
CHEMBL99946;Rattus norvegicus;CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN;566.0
CHEMBL99189;Rattus norvegicus;CN(C)S(=O)(=O)N(C)C[C@H](C(=O)NO)[C@@H](CC1CCCC1)C(=O)N1CCCCC1;904.0
CHEMBL98936;Rattus norvegicus;O=C(N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1COC2OCCC21)Oc1cncs1;1886.0
CHEMBL98886;Mus musculus;CC(C)(C)n1cc(C(=O)O)c(=O)c2cc(F)c(N3C[C@H]4C[C@@H]3CN4)nc21;34000.0
CHEMBL98745;Mus musculus;O=C1N[C@@H]2C(=C[C@H](O)[C@@H](O)[C@H]2O)c2cc3c(c(O)c21)OCO3;1352.2
CHEMBL98044;Rattus norvegicus;CN(C[C@H](C(=O)NO)[C@@H](CC1CCCC1)C(=O)N1CCCCC1)S(C)(=O)=O;662.0
CHEMBL98;Mus musculus;O=C(CCCCCCC(=O)Nc1ccccc1)NO;1486.0
CHEMBL97777;Rattus norvegicus;CC(C)c1nc(CN(C)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC2COC3OCCC23)C(C)C)cs1;1378.0
CHEMBL97523;Mus musculus;Cc1c(F)c(N2C[C@H]3C[C@@H]2CN3)nc2c1c(=O)c(C(=O)O)cn2C1CC1;26000.0
CHEMBL959;Oryctolagus cuniculus;CC(N)C12CC3CC(CC(C3)C1)C2;1200.0
CHEMBL941;Rattus norvegicus;Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1;868.84
CHEMBL94037;Rattus norvegicus;C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](/C=C/c4ccno4)C3)[C@H](C)[C@H]12;18866.67
CHEMBL940;Rattus norvegicus;NCC1(CC(=O)O)CCCCC1;8600.0
CHEMBL939;Rattus norvegicus;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1;490.6
CHEMBL93560;Rattus norvegicus;C[C@H](O)[C@@H](CCc1cccc2ccccc12)n1cnc(C(N)=O)c1;1370.0
CHEMBL93280;Rattus norvegicus;Cn1c(CCC(=O)Nc2ccc3ccn(CC[C@H](CO)n4cnc(C(N)=O)c4)c3c2)nc2ccccc21;100.0
CHEMBL9324;Mus musculus;CC[N+](CC)(CC)CC;9100.0
CHEMBL9298;Rattus norvegicus;N#Cc1ccc(C2CCCc3cncn32)cc1;3575.0
CHEMBL92753;Mus musculus;CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)Cc2cccnc2)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@]2(C)C[C@@H](C)[C@H](OC(=O)O2)[C@H](C)[C@H]2OC(=O)O[C@]12C;230.0
CHEMBL927;Rattus norvegicus;C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1;13200.0
CHEMBL92499;Mus musculus;NC(=O)CN1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1;12200.0
CHEMBL92404;Rattus norvegicus;C[C@H](O)[C@@H](CCOc1ccc2ccccc2c1)n1cnc(C(N)=O)c1;1850.0
CHEMBL92;Rattus norvegicus;CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C;667.0
CHEMBL9194;Rattus norvegicus;CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1;10666.67
CHEMBL917;Rattus norvegicus;O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F;308.0
CHEMBL90568;Rattus norvegicus;COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O;427.0
CHEMBL90050;Mus musculus;CN(C)C(=O)C(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1;2260.0
CHEMBL9;Mus musculus;CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21;6490.0
CHEMBL89304;Mus musculus;NC(=O)C(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1;27080.0
CHEMBL893;Mus musculus;Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12;21370.0
CHEMBL88936;Rattus norvegicus;CCCc1cccc2c(/C=C(\C)C(=O)O)cc(OC)c(O)c12;60400.0
CHEMBL87327;Rattus norvegicus;CCCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2c(C(=O)O)c(N)nc3ccccc23)cc1;520.0
CHEMBL86453;Rattus norvegicus;CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C(C)C)C(C)(C)C)C(=O)C(=O)NC1CC1;25830.0
CHEMBL86247;Rattus norvegicus;CCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2c(-c3nn[nH]n3)cnc3ccccc23)cc1;890.0
CHEMBL86;Rattus norvegicus;CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC;367.0
CHEMBL850;Mus musculus;C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1;43000.0
CHEMBL85;Mus musculus;Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2;409.0
CHEMBL84854;Rattus norvegicus;CC(C)[C@H](NC(=O)c1cnccn1)C(=O)N[C@H](C(=O)N1C[C@@H]2CCC[C@@H]2[C@H]1C(=O)NC(CC(F)F)C(=O)C(=O)NC1CC1)C(C)C;145.0
CHEMBL846;Mus musculus;C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O;40.0
CHEMBL84573;Rattus norvegicus;CCCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2c(C(=O)O)c(C)nc3ccccc23)cc1;500.0
CHEMBL845;Rattus norvegicus;Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2;346.0
CHEMBL843;Rattus norvegicus;CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O;59200.0
CHEMBL841;Rattus norvegicus;CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1;806.0
CHEMBL82301;Rattus norvegicus;COC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)C[C@@H]1C;6500.0
CHEMBL81717;Rattus norvegicus;CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O;450.0
CHEMBL80350;Rattus norvegicus;C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CSc4cnns4)C3)[C@H](C)[C@H]12;36866.67
CHEMBL80299;Mus musculus;CC(=O)O[C@H]1CN(C(=O)[C@@H]2C[C@H](SC3=C(C(=O)O)N4C(=O)[C@H]([C@@H](C)O)[C@H]4[C@H]3C)CN2)C[C@@H]1OC(C)=O;6830.0
CHEMBL80254;Rattus norvegicus;OC[C@H]1NC[C@@H](O)[C@@H]1O;103.0
CHEMBL80251;Rattus norvegicus;Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCN([C@@H](CCC(F)(F)F)c3ccc(C(F)(F)F)cc3)[C@@H](C)C2)CC1;4600.0
CHEMBL8;Mus musculus;O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O;8000.0
CHEMBL79463;Rattus norvegicus;COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)C(F)(F)F)C(C)C)C(C)C;5480.0
CHEMBL79433;Rattus norvegicus;O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCN(Cc2ccccc2)CC1;327000.0
CHEMBL79061;Rattus norvegicus;Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCN([C@@H](Cc3ccccc3)c3ccc(C(F)(F)F)cc3)[C@@H](C)C2)CC1;2030.0
CHEMBL78535;Rattus norvegicus;CCO/N=C(\c1ccc(Br)cc1)C1CCN(C2(C)CCN(C(=O)c3c(C)cc[n+]([O-])c3C)CC2)CC1;6500000.0
CHEMBL77538;Rattus norvegicus;N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1;6490.0
CHEMBL77131;Rattus norvegicus;CCNC(=O)OC1CCN(c2nncc3cc(OC)c(OC)cc23)CC1;1630.0
CHEMBL76370;Rattus norvegicus;CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12;21.0
CHEMBL76;Mus musculus;CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12;30.15
CHEMBL75880;Mus musculus;C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1;876.0
CHEMBL75125;Rattus norvegicus;Nc1nc(/C(=N/OCCF)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(Sc4ncc([N+](=O)[O-])s4)CC[C@H]23)cs1;11100.0
CHEMBL75108;Rattus norvegicus;COc1ccc(S(=O)(=O)c2ccc(C3(C4CCN(C5CCN(C(=O)c6cccc7c(F)cc(F)cc67)CC5)CC4)OCCO3)cc2)cc1;367.0
