chembl_id;organism;canonical_smiles;LD50 /mg.kg-1
CHEMBL99964;Rattus norvegicus;CC(=O)SCCNC(=O)[C@H](C)NC(=O)CN;1500.0
CHEMBL9993;Rattus norvegicus;CCCN1CCC[C@H]2c3cccnc3CC[C@H]21;139.0
CHEMBL99495;Mus musculus;O=C(O)c1cn(C2CC2)c2cc(N3CCN(O)CC3)c(F)cc2c1=O;4000.0
CHEMBL99269;Mus musculus;CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(O)CC3)cc21;500.0
CHEMBL9918;Rattus norvegicus;CCN1CCC[C@@H]2c3cccn4cc(C)c(c34)C[C@H]21;227.9
CHEMBL98886;Mus musculus;CC(C)(C)n1cc(C(=O)O)c(=O)c2cc(F)c(N3C[C@H]4C[C@@H]3CN4)nc21;5000.0
CHEMBL976;Rattus norvegicus;O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1;500.0
CHEMBL97589;Mus musculus;CCCCCc1cc(O)c2c(c1)OC(C)(C)C/C2=N\CC(C)O;800.0
CHEMBL97523;Mus musculus;Cc1c(F)c(N2C[C@H]3C[C@@H]2CN3)nc2c1c(=O)c(C(=O)O)cn2C1CC1;1750.0
CHEMBL972;Mus musculus;C#CCN(C)[C@H](C)Cc1ccccc1;200.0
CHEMBL97137;Oryctolagus cuniculus;N=C(N/N=C/c1ccc(Cl)cc1)N/N=C/c1ccc(Cl)cc1;2900.0
CHEMBL96940;Mus musculus;Cn1nc(-c2ccc(F)cc2)n(C)c1=O;800.0
CHEMBL96860;Mus musculus;COc1cccc(C2SCC(=O)N2CCN2C(=O)CSC2c2cccc(OC)c2)c1;1000.0
CHEMBL96819;Mus musculus;Cn1c(O)nnc1-c1ccncc1;800.0
CHEMBL96709;Mus musculus;COc1ccc(C2SCC(=O)N2CCN2C(=O)CSC2c2ccc(OC)c(F)c2)cc1F;1000.0
CHEMBL96690;Mus musculus;CCn1c(O)nnc1-c1cccc(C(F)(F)F)c1;400.0
CHEMBL96664;Mus musculus;CCCCOc1cc(-c2nn(C)c(=O)n2C)ccc1OC;800.0
