chembl_id;organism;canonical_smiles;PPB /%
CHEMBL99946;Rattus norvegicus;CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN;13.0
CHEMBL97485;Sus scrofa;[N-]=[N+]=CC(=O)CC[C@H](N)C(=O)O;21.0
CHEMBL93790;Rattus norvegicus;C[C@@]1(C(=O)N[C@@H](Cc2ccc(-c3ccccc3C#N)cc2)C(=O)O)CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1;99.5
CHEMBL81176;Mus musculus;Cc1ccc(C2=CCC(C)(C)c3ccc(C(=O)Nc4ccc(C(=O)O)cc4)cc32)cc1;99.2
CHEMBL6966;Rattus norvegicus;COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC;88.0
CHEMBL680;Mus musculus;N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1;25.0
CHEMBL67;Rattus norvegicus;COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O;98.9
CHEMBL638;Rattus norvegicus;C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F;66.0
CHEMBL62811;Rattus norvegicus;O=C1CCc2cc(-c3cccnc3)ccc2N1;60.0
CHEMBL611352;Rattus norvegicus;O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2F)c2ccccc2c1=O;96.3
CHEMBL609602;Rattus norvegicus;O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2ccccc2c1=O;98.8
CHEMBL609577;Rattus norvegicus;CCCn1cnc(C[C@H](OCCN)C(=O)O)c1;0.0
CHEMBL608399;Rattus norvegicus;O=C(O)c1cn(Cc2ccc(-c3cccnc3)cc2)c2cccc(F)c2c1=O;94.9
CHEMBL608112;Rattus norvegicus;COc1ccc(Cn2cc(C(=O)O)c(=O)c3ccccc32)cc1;95.7
CHEMBL606177;Rattus norvegicus;Cc1cc(NC(=O)OCC(Oc2cccc3sc(C(=N)N)cc23)c2ccccc2)n(C)n1;96.0
CHEMBL605325;Rattus norvegicus;CCCc1nc(-c2ccccc2)oc1C(=O)NC(C)CN1CCN(c2ncccn2)CC1;99.0
CHEMBL605160;Rattus norvegicus;O=C(O)c1cn(Cc2ccc(-n3ccc4cccnc43)cc2)c2cccc(F)c2c1=O;98.8
CHEMBL605148;Rattus norvegicus;COc1ccc(C(c2ccccc2)c2nc(-c3ccc(F)cc3)c(CC(=O)O)s2)cc1;6.0
CHEMBL604954;Rattus norvegicus;Cc1nn(C)c(CNC(C)C)c1NC(=O)OCC(Oc1cccc2sc(C(=N)N)cc12)c1ccccc1;96.0
CHEMBL604873;Rattus norvegicus;Cn1cc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4c(F)ccc(F)c43)nc2)cn1;92.0
CHEMBL604689;Rattus norvegicus;O=C(NC1CC1)c1ccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4cccc(F)c43)cc2)cc1;99.6
CHEMBL604681;Rattus norvegicus;Nc1ccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4cccc(F)c43)cc2)cn1;95.4
CHEMBL604260;Rattus norvegicus;O=C(O)c1cn(Cc2ccc(-c3cncnc3)cc2)c2c(F)cccc2c1=O;96.5
CHEMBL604067;Rattus norvegicus;CN(C)Cc1cccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4cccc(F)c43)cc2)c1;95.2
CHEMBL603469;Mus musculus;C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O;99.0
CHEMBL603197;Mus musculus;Cc1n[nH]c2cnc(-c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)cnc3-c3ccoc3)nc12;84.5
