chembl_id;organism;canonical_smiles;T1/2 /hr
CHEMBL99828;Rattus norvegicus;Cc1cc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)s1;19.4
CHEMBL9946;Rattus norvegicus;CCCCN(CC)c1nc(C)nc2c1c(C)cn2-c1c(C)cc(C)cc1C;1.5
CHEMBL99214;Rattus norvegicus;C[C@@H]1[C@H](OC(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN2C[C@H]3CCS[C@H]3C[C@H]2C(=O)NC(C)(C)C)CCS1(=O)=O;2.533
CHEMBL99066;Rattus norvegicus;CC(C)c1ccccc1Sc1ccc(/C=C/C(=O)N2CCCC(C(=O)O)C2)cc1[N+](=O)[O-];0.4
CHEMBL98936;Rattus norvegicus;O=C(N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1COC2OCCC21)Oc1cncs1;0.69
CHEMBL98886;Mus musculus;CC(C)(C)n1cc(C(=O)O)c(=O)c2cc(F)c(N3C[C@H]4C[C@@H]3CN4)nc21;1.583
CHEMBL98745;Mus musculus;O=C1N[C@@H]2C(=C[C@H](O)[C@@H](O)[C@H]2O)c2cc3c(c(O)c21)OCO3;1.1
CHEMBL982;Mus musculus;C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5;0.3333
CHEMBL9806;Mus musculus;CS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1;0.9167
CHEMBL98;Mus musculus;O=C(CCCCCCC(=O)Nc1ccccc1)NO;0.38
CHEMBL97777;Rattus norvegicus;CC(C)c1nc(CN(C)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC2COC3OCCC23)C(C)C)cs1;0.35
CHEMBL97695;Rattus norvegicus;C[C@@H](OC(=O)c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C;6.0
CHEMBL97657;Rattus norvegicus;C[C@H](OC(=O)c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C;24.0
CHEMBL97585;Rattus norvegicus;CC(C)[C@@H]1[C@H](OC(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN2C[C@H]3CCS[C@H]3C[C@H]2C(=O)NC(C)(C)C)CCS1(=O)=O;1.4
CHEMBL97523;Mus musculus;Cc1c(F)c(N2C[C@H]3C[C@@H]2CN3)nc2c1c(=O)c(C(=O)O)cn2C1CC1;1.283
CHEMBL97487;Rattus norvegicus;CCC1(N(CCO)C(=O)c2ccccc2CCC(O)Cc2ccc(C)cc2C(=O)N(CCC(O)CO)C(C)(C)c2ccccc2)CCCC1;1.3
CHEMBL97481;Rattus norvegicus;CC(OC(=O)c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C;6.0
CHEMBL973;Rattus norvegicus;C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1;14.1
CHEMBL96763;Rattus norvegicus;O=C1NCc2c(-c3ccccc3Cl)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl;2.5
CHEMBL96653;Rattus norvegicus;CN1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1;1.5
CHEMBL96565;Rattus norvegicus;O=C1NCc2c(-c3ccc(F)cc3Cl)cc(C3CCN(C4CC4)CC3)cc2N1c1c(Cl)cccc1Cl;2.5
CHEMBL96487;Rattus norvegicus;O=C1NCc2c(-c3ccccc3Cl)cc(N3CCNCC3)cc2N1c1c(Cl)cccc1Cl;1.6
CHEMBL96467;Rattus norvegicus;C[C@@H]1OC(=O)N(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@H]1c1ccc(F)c(F)c1;6.0
CHEMBL96451;Rattus norvegicus;CCCc1cc(Oc2ccc(F)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1;1.3
CHEMBL96433;Rattus norvegicus;N=C(N)c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3O)cc2c1;1.7
CHEMBL96345;Rattus norvegicus;CCN1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1;2.2
CHEMBL96224;Rattus norvegicus;COc1ccc(NS(=O)(=O)C(F)(F)F)cc1C[C@@H]1COc2ccc(OCc3nc4cc(F)c(F)cc4s3)cc2[C@@H]1O;8.8
CHEMBL96206;Rattus norvegicus;COc1ccc(NS(=O)(=O)C(F)(F)F)cc1C[C@@H]1COc2ccc(OCc3ccc4ccc(Cl)cc4n3)cc2[C@@H]1O;0.8
