chembl_id;organism;canonical_smiles;Vdss /L.kg-1
CHEMBL99828;Rattus norvegicus;Cc1cc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)s1;16.8
CHEMBL9946;Rattus norvegicus;CCCCN(CC)c1nc(C)nc2c1c(C)cn2-c1c(C)cc(C)cc1C;6.7
CHEMBL98;Mus musculus;O=C(CCCCCCC(=O)Nc1ccccc1)NO;0.81
CHEMBL96433;Rattus norvegicus;N=C(N)c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3O)cc2c1;11.9
CHEMBL959;Oryctolagus cuniculus;CC(N)C12CC3CC(CC(C3)C1)C2;1.2
CHEMBL941;Rattus norvegicus;Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1;5.5
CHEMBL940;Rattus norvegicus;NCC1(CC(=O)O)CCCCC1;0.65
CHEMBL939;Rattus norvegicus;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1;8.0
CHEMBL93851;Rattus norvegicus;CCN(C(=O)OCc1ccccc1)C1CCN(C[C@H]2CN(C(=O)c3ccccc3Cl)C[C@@H]2c2ccccc2)CC1;0.8
CHEMBL9324;Mus musculus;CC[N+](CC)(CC)CC;0.318
CHEMBL93139;Rattus norvegicus;C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CC[C@](C)(CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1;2.2
CHEMBL89248;Rattus norvegicus;CCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)CC)c2[nH]1;9.7
CHEMBL88629;Rattus norvegicus;COc1ccc(N(C(=O)CN2C(=O)C(C)(Cc3n[nH]c4ccccc34)C(=O)N(c3ccccc3)c3ccccc32)C(C)C)cc1;4.313
CHEMBL88486;Rattus norvegicus;C[S+]([O-])c1ccc(-c2cc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1;2.23
CHEMBL8828;Rattus norvegicus;CCCC[C@@H](C[C@@H](CCc1ccc(-c2ccc(F)cc2)cc1)C(=O)N[C@H](C(=O)NC)C(C)(C)C)C(=O)O;0.32
CHEMBL87307;Rattus norvegicus;CCO[C@@H](Cc1ccc(OCC=C(c2ccc(Br)cc2)c2ccc(Br)cc2)cc1)C(=O)O;2.3
CHEMBL85350;Rattus norvegicus;CCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1;9.7
CHEMBL84691;Rattus norvegicus;CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1;1.9
CHEMBL841;Rattus norvegicus;CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1;7.9
CHEMBL83279;Rattus norvegicus;c1ccc(-n2cnc3cc(-c4ccc(OCCN5CCCCC5)cc4)ccc32)cc1;1.9
CHEMBL82433;Rattus norvegicus;O=c1cc(-c2ccc3c(c2)ncn3-c2ccccc2)ccn1CCCN1CCCCC1;3.9
CHEMBL809;Rattus norvegicus;CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21;52.0
CHEMBL79433;Rattus norvegicus;O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCN(Cc2ccccc2)CC1;0.1
CHEMBL79263;Rattus norvegicus;CCOC(=O)[C@]1(Cc2ccccc2)CCCN(C(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)C(C)(C)N)C1;2.7
CHEMBL77826;Rattus norvegicus;O=C(O)c1ccc(-c2cc3cccnc3c(-c3ccc4nonc4c3)n2)cc1;0.37
CHEMBL741;Mus musculus;Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1;0.98
