organism,chembl_id,canonical_smiles,T1/2 /hr,F /%,AUC /ng.hr.mL-1,Cmax /ug.mL-1,Vdss /L.kg-1,CL /mL.min-1.kg-1,LD50 /mg.kg-1
Rattus norvegicus,CHEMBL99946,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,2.5,31.4,566.0,0.232,11.9,24.0,2000.0
Rattus norvegicus,CHEMBL99893,C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cccc(C(=N)NO)c1,1.5,52.0,417.2,0.63,14.0,181.0,3500.0
Rattus norvegicus,CHEMBL99828,Cc1cc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)s1,19.4,0.9,505.0,0.2,16.8,35.83,500.0
Rattus norvegicus,CHEMBL9946,CCCCN(CC)c1nc(C)nc2c1c(C)cn2-c1c(C)cc(C)cc1C,1.5,40.0,904.0,0.367,6.7,82.0,3200.0
Rattus norvegicus,CHEMBL99214,C[C@@H]1[C@H](OC(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN2C[C@H]3CCS[C@H]3C[C@H]2C(=O)NC(C)(C)C)CCS1(=O)=O,2.533,39.0,888.34,0.2,12.3,49.8,4000.0
Rattus norvegicus,CHEMBL98936,O=C(N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1COC2OCCC21)Oc1cncs1,0.69,41.1,1886.0,1.121,3.4,34.4,1256.6
Mus musculus,CHEMBL98745,O=C1N[C@@H]2C(=C[C@H](O)[C@@H](O)[C@H]2O)c2cc3c(c(O)c21)OCO3,1.1,32.0,1352.2,0.04755,6.0,121.0,650.0
Rattus norvegicus,CHEMBL98044,CN(C[C@H](C(=O)NO)[C@@H](CC1CCCC1)C(=O)N1CCCCC1)S(C)(=O)=O,0.4,12.1,662.0,0.1718,1.23,56.3,1000.1
Mus musculus,CHEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO,0.38,10.0,1486.0,501.0,0.81,0.1122,986.09
Rattus norvegicus,CHEMBL97777,CC(C)c1nc(CN(C)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC2COC3OCCC23)C(C)C)cs1,0.35,11.2,1378.0,0.442,1.11,8.3,500
Rattus norvegicus,CHEMBL97585,CC(C)[C@@H]1[C@H](OC(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN2C[C@H]3CCS[C@H]3C[C@H]2C(=O)NC(C)(C)C)CCS1(=O)=O,1.4,3.5,1230.8,0.2,2.3,8.9,322.4
Mus musculus,CHEMBL97523,Cc1c(F)c(N2C[C@H]3C[C@@H]2CN3)nc2c1c(=O)c(C(=O)O)cn2C1CC1,1.283,3.0,26000.0,9.0,5.6,10.5,1750.0
Rattus norvegicus,CHEMBL97487,CCC1(N(CCO)C(=O)c2ccccc2CCC(O)Cc2ccc(C)cc2C(=O)N(CCC(O)CO)C(C)(C)c2ccccc2)CCCC1,1.3,4.2,1100.2,110.8,1.9,25.0,455.7
Oryctolagus cuniculus,CHEMBL959,CC(N)C12CC3CC(CC(C3)C1)C2,0.5,7.0,1200.0,0.455,1.2,233.33,175.0
Rattus norvegicus,CHEMBL957,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,4.0,40.0,897.9,0.112,3.3,55.0,1200.3
Rattus norvegicus,CHEMBL95104,O=S(=O)(c1ccc2cc[nH]c2c1)N1CCC[C@@H]1CCN1CCC(Oc2ccc(Cl)cc2)CC1,2.0,16.0,4567.9,0.3,2.9,57.0,2334.1
Rattus norvegicus,CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,4.6,76.51,868.84,0.5313,5.5,27.88,566.2
Rattus norvegicus,CHEMBL940,NCC1(CC(=O)O)CCCCC1,1.5,76.0,8600.0,0.4,0.65,6.0,8000.0
Rattus norvegicus,CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,2.17,47.4,490.6,0.6213,8.0,68.0,600.8
Rattus norvegicus,CHEMBL93851,CCN(C(=O)OCc1ccccc1)C1CCN(C[C@H]2CN(C(=O)c3ccccc3Cl)C[C@@H]2c2ccccc2)CC1,1.0,18.0,890.9,0.665,0.8,12.2,600.0
Rattus norvegicus,CHEMBL93560,C[C@H](O)[C@@H](CCc1cccc2ccccc12)n1cnc(C(N)=O)c1,0.66,30.0,1370.0,1.25,4.99,307.0,210.0
Rattus norvegicus,CHEMBL92404,C[C@H](O)[C@@H](CCOc1ccc2ccccc2c1)n1cnc(C(N)=O)c1,1.12,42.0,1850.0,0.97,0.9,79.0,587.0
Rattus norvegicus,CHEMBL90568,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O,0.514,28.1,427.0,0.56,0.112,238.33,64.0
