"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Assay Type";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL3863928";"A";"Binding affinity to BSA assessed as dissociation rate constants of the ligand-target complex at 2 mM in presence of 0.03 mM L-tryptophan by (1)H relaxation dispersion NMR spectroscopy";"Bos taurus";"1";"1";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL3862034";"27933946";"10.1021/acs.jmedchem.6b01110";"2016";"J Med Chem";"59";"10788";"10793";"";"";"";"";"";""
"CHEMBL3424919";"A";"Cytotoxicity against bovine MDBK cells assessed as cell viability after 72 hrs by MTT method";"Bos taurus";"22";"23";"BAO_0000219";"cell-based format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"MDBK";"";"CHEMBL3421576";"25913116";"10.1016/j.bmcl.2015.04.006";"2015";"Bioorg. Med. Chem. Lett.";"25";"2401";"2404";"";"";"";"";"";""
"CHEMBL642716";"A";"Delta Tm value ( Tmdrug-DNA )-TmDNA ) was obtained for the covalently cross-linked compound in the presence of formaldehyde using poly(dA-dC).poly(dG-dT)";"Bos taurus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL1133544";"11101362";"10.1021/jm0003438";"2000";"J. Med. Chem.";"43";"4711";"4720";"";"";"";"";"";""
"CHEMBL1285656";"A";"Cytotoxicity against BAEC assessed as cell viability up to 10 uM";"Bos taurus";"2";"2";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"BAEC";"";"CHEMBL1275324";"20850205";"10.1016/j.ejmech.2010.08.052";"2010";"Eur. J. Med. Chem.";"45";"5309";"5317";"";"";"";"";"";""
"CHEMBL4180781";"A";"Binding affinity to calf thymus duplex DNA assessed as hyperchromic shift at 550 nanometer at 5 uM in presence of 100 mM KCl by UV-vis spectrophotometric analysis relative to control";"Bos taurus";"1";"1";"BAO_0000225";"nucleic acid format";"3";"3 - Target assigned is molecular non-protein target";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4177642";"29089258";"10.1016/j.bmc.2017.10.014";"2017";"Bioorg Med Chem";"25";"6404";"6411";"";"";"";"";"";""
"CHEMBL2072394";"A";"Cytotoxicity against bovine articular chondrocytes assessed as cell viability at 10 mM by MTT assay relative to control";"Bos taurus";"2";"2";"BAO_0000019";"assay format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL2069258";"22501024";"10.1021/jm300074y";"2012";"J. Med. Chem.";"55";"4629";"4639";"";"";"";"";"";""
"CHEMBL3375892";"A";"Drug metabolism in cattle serum assessed as peptide H-Asp-Phe-Phe-MePhe-Gly-Leu-Met-NH2 formation by HPLC analysis";"Bos taurus";"1";"1";"BAO_0000366";"cell-free format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"9913";"A";"CHEMBL3638229";"Serum";"";"";"CHEMBL3352625";"25247671";"10.1021/jm500771w";"2014";"J. Med. Chem.";"57";"8646";"8651";"";"";"";"";"";""
"CHEMBL4367098";"A";"Thermal re-isomerization in bovine plasma assessed as trans-isomer formation at 10 uM measured after 1 hr at 37 degC using pre-irradiated compound at 365 nm light for 1 hr by LCMS analysis";"Bos taurus";"1";"1";"BAO_0000366";"cell-free format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"CHEMBL3559721";"Plasma";"";"";"CHEMBL4364290";"31252305";"10.1016/j.ejmech.2019.06.042";"2019";"Eur J Med Chem";"179";"133";"146";"";"";"";"";"";""
"CHEMBL4416234";"A";"Binding affinity to bovine serum albumin at pH 7.4 TRIS buffer by fluorescence based Stern-Volmer plot analysis";"Bos taurus";"2";"4";"BAO_0000357";"single protein format";"9";"9 - Direct single protein target assigned";"";"Scientific Literature";"9913";"A";"";"";"";"";"CHEMBL4414603";"31577143";"10.1021/acs.jmedchem.9b01254";"2019";"J Med Chem";"62";"9990";"9995";"";"";"";"";"";""
"CHEMBL4231921";"A";"Protein binding in 10% FBS in Trypanosoma brucei culture medium assessed as drug recovery at 10 uM after 6 hrs by equilibrium dialysis and LC-MS analysis";"Bos taurus";"1";"1";"BAO_0000366";"cell-free format";"0";"0 - Default value - Target unknown or has yet to be assigned";"";"Scientific Literature";"9913";"A";"CHEMBL3638229";"Serum";"";"";"CHEMBL4229376";"29604541";"10.1016/j.ejmech.2018.03.048";"2018";"Eur J Med Chem";"151";"18";"26";"";"";"";"";"";""
