chembl_id;organism;canonical_smiles;Cmax /ug.mL-1
CHEMBL99946;Rattus norvegicus;CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN;0.232
CHEMBL99893;Rattus norvegicus;C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cccc(C(=N)NO)c1;0.63
CHEMBL99828;Rattus norvegicus;Cc1cc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)s1;0.2
CHEMBL9946;Rattus norvegicus;CCCCN(CC)c1nc(C)nc2c1c(C)cn2-c1c(C)cc(C)cc1C;0.367
CHEMBL99214;Rattus norvegicus;C[C@@H]1[C@H](OC(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN2C[C@H]3CCS[C@H]3C[C@H]2C(=O)NC(C)(C)C)CCS1(=O)=O;0.2
CHEMBL99189;Rattus norvegicus;CN(C)S(=O)(=O)N(C)C[C@H](C(=O)NO)[C@@H](CC1CCCC1)C(=O)N1CCCCC1;0.04755
CHEMBL99066;Rattus norvegicus;CC(C)c1ccccc1Sc1ccc(/C=C/C(=O)N2CCCC(C(=O)O)C2)cc1[N+](=O)[O-];0.45
CHEMBL98936;Rattus norvegicus;O=C(N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1COC2OCCC21)Oc1cncs1;1.121
CHEMBL98886;Mus musculus;CC(C)(C)n1cc(C(=O)O)c(=O)c2cc(F)c(N3C[C@H]4C[C@@H]3CN4)nc21;20.0
CHEMBL98044;Rattus norvegicus;CN(C[C@H](C(=O)NO)[C@@H](CC1CCCC1)C(=O)N1CCCCC1)S(C)(=O)=O;0.1718
CHEMBL98;Mus musculus;O=C(CCCCCCC(=O)Nc1ccccc1)NO;501.0
CHEMBL97777;Rattus norvegicus;CC(C)c1nc(CN(C)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC2COC3OCCC23)C(C)C)cs1;0.442
CHEMBL97585;Rattus norvegicus;CC(C)[C@@H]1[C@H](OC(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN2C[C@H]3CCS[C@H]3C[C@H]2C(=O)NC(C)(C)C)CCS1(=O)=O;0.2
CHEMBL97523;Mus musculus;Cc1c(F)c(N2C[C@H]3C[C@@H]2CN3)nc2c1c(=O)c(C(=O)O)cn2C1CC1;9.0
CHEMBL97487;Rattus norvegicus;CCC1(N(CCO)C(=O)c2ccccc2CCC(O)Cc2ccc(C)cc2C(=O)N(CCC(O)CO)C(C)(C)c2ccccc2)CCCC1;110.8
CHEMBL94248;Rattus norvegicus;C#CCNC(C)(CS(=O)(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO;1.37
CHEMBL941;Rattus norvegicus;Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1;0.5313
CHEMBL93993;Rattus norvegicus;CN[C@H](CS(=O)(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO;0.049
CHEMBL939;Rattus norvegicus;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1;0.6213
CHEMBL93560;Rattus norvegicus;C[C@H](O)[C@@H](CCc1cccc2ccccc12)n1cnc(C(N)=O)c1;1.25
CHEMBL93280;Rattus norvegicus;Cn1c(CCC(=O)Nc2ccc3ccn(CC[C@H](CO)n4cnc(C(N)=O)c4)c3c2)nc2ccccc21;0.1
CHEMBL9298;Rattus norvegicus;N#Cc1ccc(C2CCCc3cncn32)cc1;0.471
CHEMBL92847;Rattus norvegicus;CC(=O)N(C)[C@H](CS(=O)(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO;0.06
CHEMBL92753;Mus musculus;CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)Cc2cccnc2)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@]2(C)C[C@@H](C)[C@H](OC(=O)O2)[C@H](C)[C@H]2OC(=O)O[C@]12C;1.35
CHEMBL927;Rattus norvegicus;C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1;2.5
CHEMBL92404;Rattus norvegicus;C[C@H](O)[C@@H](CCOc1ccc2ccccc2c1)n1cnc(C(N)=O)c1;0.97
CHEMBL9194;Rattus norvegicus;CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1;3.2
CHEMBL917;Rattus norvegicus;O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F;0.169
CHEMBL91434;Rattus norvegicus;CC(N)(CS(=O)(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO;6.43
CHEMBL91124;Rattus norvegicus;CC(CS(=O)(=O)c1ccc(Oc2ccccc2)cc1)(NCc1ccccc1)C(=O)NO;0.216
CHEMBL9083;Rattus norvegicus;CN(C)c1cccc(-n2c(NNC(=O)Nc3cccc(C#N)c3)nc3ccccc3c2=O)c1;0.91
CHEMBL90762;Rattus norvegicus;CC(N)(CS(=O)(=O)c1ccc(Sc2ccccc2)cc1)C(=O)NO;1.54
CHEMBL90568;Rattus norvegicus;COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O;0.56
CHEMBL905;Rattus norvegicus;CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12;0.271
CHEMBL90211;Rattus norvegicus;CCNC(C)(CS(=O)(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO;0.561
CHEMBL893;Mus musculus;Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12;529.05
CHEMBL88936;Rattus norvegicus;CCCc1cccc2c(/C=C(\C)C(=O)O)cc(OC)c(O)c12;29.9
CHEMBL8890;Rattus norvegicus;CC(C)Oc1cccc(-n2c(NNC(=O)Nc3cccc(C(=O)OC(C)(C)C)c3)nc3ccccc3c2=O)c1;0.25
CHEMBL888;Rattus norvegicus;Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1;7109.0
CHEMBL88629;Rattus norvegicus;COc1ccc(N(C(=O)CN2C(=O)C(C)(Cc3n[nH]c4ccccc34)C(=O)N(c3ccccc3)c3ccccc32)C(C)C)cc1;0.03
CHEMBL87307;Rattus norvegicus;CCO[C@@H](Cc1ccc(OCC=C(c2ccc(Br)cc2)c2ccc(Br)cc2)cc1)C(=O)O;0.554
CHEMBL86247;Rattus norvegicus;CCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2c(-c3nn[nH]n3)cnc3ccccc23)cc1;4.2
CHEMBL85255;Rattus norvegicus;O=C(NO)c1c(Cl)cccc1S(=O)(=O)N1CCC(Oc2ccc(C(F)(F)F)cc2)CC1;1.31
CHEMBL850;Mus musculus;C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1;0.75
CHEMBL846;Mus musculus;C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O;0.01
CHEMBL843;Rattus norvegicus;CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O;29.4
CHEMBL841;Rattus norvegicus;CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1;0.069
CHEMBL83385;Rattus norvegicus;CCCN(CCC)c1c(C)nc(-c2c(C)cc(C)cc2OC)n(CC)c1=O;0.234
CHEMBL83209;Rattus norvegicus;O=C(NO)c1ccccc1S(=O)(=O)N1CCC(Oc2ccc(C(F)(F)F)cc2)CC1;1.23
CHEMBL82301;Rattus norvegicus;COC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)C[C@@H]1C;2.3
CHEMBL81717;Rattus norvegicus;CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O;0.3
CHEMBL81333;Rattus norvegicus;COc1ccc(S(=O)(=O)N2CCC(OCc3ccc4c(c3)OCO4)CC2)c(C(=O)NO)c1OC;9.2
CHEMBL80299;Mus musculus;CC(=O)O[C@H]1CN(C(=O)[C@@H]2C[C@H](SC3=C(C(=O)O)N4C(=O)[C@H]([C@@H](C)O)[C@H]4[C@H]3C)CN2)C[C@@H]1OC(C)=O;16.58
CHEMBL80254;Rattus norvegicus;OC[C@H]1NC[C@@H](O)[C@@H]1O;0.00171
CHEMBL8;Mus musculus;O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O;6.0
CHEMBL79837;Rattus norvegicus;O=C(NO)c1c(S(=O)(=O)N2CCC(Oc3ccc(C(F)(F)F)cc3)CC2)ccc2c1OCO2;3.06
CHEMBL79619;Rattus norvegicus;COCCOc1cccc(S(=O)(=O)N2CCC(Oc3ccc(C(F)(F)F)cc3)CC2)c1C(=O)NO;2.67
CHEMBL79463;Rattus norvegicus;COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)C(F)(F)F)C(C)C)C(C)C;3.69
CHEMBL79433;Rattus norvegicus;O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCN(Cc2ccccc2)CC1;75.2
CHEMBL79263;Rattus norvegicus;CCOC(=O)[C@]1(Cc2ccccc2)CCCN(C(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)C(C)(C)N)C1;0.1824
CHEMBL78119;Rattus norvegicus;CCOC(=O)CC1CCN(C(=O)C(C)(C)C(CC)NC(=O)c2ccc(C(=N)N3CCN(C)CC3)cc2F)CC1;0.392
CHEMBL77696;Rattus norvegicus;CCOC(=O)CC1CCN(C(=O)C(C)(C)C(CC)NC(=O)c2ccc(C(=N)N3CCCC3)cc2F)CC1;0.194
CHEMBL77538;Rattus norvegicus;N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1;6.2
CHEMBL77489;Rattus norvegicus;CCOC(=O)CC1CCN(C(=O)C(C)(C)C(CC)NC(=O)c2ccc(C(=N)N3CCOCC3)cc2F)CC1;0.922
CHEMBL77131;Rattus norvegicus;CCNC(=O)OC1CCN(c2nncc3cc(OC)c(OC)cc23)CC1;1.15
CHEMBL76882;Rattus norvegicus;CCOC(=O)CC1CCN(C(=O)C(C)(C)C(CC)NC(=O)c2ccc(C(=N)N3CCC(O)CC3)cc2F)CC1;0.29
CHEMBL76370;Rattus norvegicus;CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12;0.006
CHEMBL76;Mus musculus;CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12;5.229
CHEMBL75623;Rattus norvegicus;CCOC(=O)CC1CCN(C(=O)C(C)(C)C(CC)NC(=O)c2ccc(C(=N)N3CCN(c4ccc(F)cc4)CC3)cc2F)CC1;0.232
CHEMBL75125;Rattus norvegicus;Nc1nc(/C(=N/OCCF)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(Sc4ncc([N+](=O)[O-])s4)CC[C@H]23)cs1;54.2
CHEMBL75094;Rattus norvegicus;CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO;2.06
CHEMBL74656;Rattus norvegicus;COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC;0.104
CHEMBL741;Mus musculus;Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1;3.5
CHEMBL73138;Rattus norvegicus;CO/N=C1\CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1N;22.75
CHEMBL7301;Rattus norvegicus;CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1;0.065
CHEMBL729;Rattus norvegicus;Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O;1.55
CHEMBL71540;Rattus norvegicus;COc1cc(OC2CCN(Cc3c[n+]([O-])ccc3C(F)(F)F)CC2)c(F)cc1C(=O)N1CCC(N2C(=O)OCc3ccccc32)CC1;2.3
CHEMBL710;Rattus norvegicus;CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C;0.00419
CHEMBL70264;Rattus norvegicus;CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccc(F)c(F)c2)cc1;5.1
CHEMBL700;Rattus norvegicus;Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1;3.244
CHEMBL69723;Rattus norvegicus;Nc1nc(/C(=N/O)C(=O)NC2C(=O)N3C(C(=O)O)=C(/C=C\c4csnn4)CSC23)cs1;6.0
CHEMBL6966;Rattus norvegicus;COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC;0.1343
CHEMBL69520;Rattus norvegicus;COc1cc(OC2CCN(Cc3cccnc3C)CC2)ccc1C(=O)N1CCC(N2C(=O)OCc3ccccc32)CC1;0.84
CHEMBL69265;Rattus norvegicus;COc1cc(OC2CCN(Cc3c[n+]([O-])ccc3C(F)(F)F)CC2)ccc1C(=O)N1CCC(N2C(=O)OCc3ccccc32)CC1;9.6
CHEMBL68978;Rattus norvegicus;COc1cc(OC2CCN(Cc3ccncc3)CC2)ccc1C(=O)N1CCC(N2C(=O)OCc3ccccc32)CC1;7.4
CHEMBL68914;Rattus norvegicus;COc1cc(OC2CCN(Cc3cccnc3)CC2)ccc1C(=O)N1CCC(N2C(=O)OCc3ccccc32)CC1;5.5
CHEMBL68800;Rattus norvegicus;COc1cc(OC2CCN([C@H]3CCCc4c3ccc[n+]4[O-])CC2)c(F)cc1C(=O)N1CCC(N2C(=O)OCc3ccccc32)CC1;6.9
CHEMBL68553;Rattus norvegicus;CC(C)C[C@@H](C(=O)N[C@H](C(=O)Nc1nccs1)C(C)(C)C)[C@H](C)N(O)C=O;2.33
CHEMBL68480;Rattus norvegicus;CCc1c(CN2CCC(Oc3ccc(C(=O)N4CCC(N5C(=O)OCc6ccccc65)CC4)c(OC)c3)CC2)c(C)cc(C)[n+]1[O-];6.9
CHEMBL67740;Rattus norvegicus;CCCCCNC(=O)C(Cc1ccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)c(CCO)c1)NC(C)=O;0.09
