chembl_id;organism;canonical_smiles;F /%
CHEMBL99893;Rattus norvegicus;C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cccc(C(=N)NO)c1;52.0
CHEMBL99828;Rattus norvegicus;Cc1cc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)s1;0.9
CHEMBL99630;Rattus norvegicus;C/C(=C1\CC(=O)N(c2ccc(C(C)(C)C)cc2)C1=O)c1cccc(C(=N)N)c1;1.7
CHEMBL99629;Rattus norvegicus;C/C(=C1\CC(=O)N(c2ccc(-c3ccccc3S(N)(=O)=O)cc2)C1=O)c1cccc(C(=N)N)c1;1.4
CHEMBL99607;Rattus norvegicus;Cc1c(O)cccc1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C;44.0
CHEMBL991;Mus musculus;Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O;100.0
CHEMBL98936;Rattus norvegicus;O=C(N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1COC2OCCC21)Oc1cncs1;41.1
CHEMBL98858;Rattus norvegicus;N=C(N)c1cccc(C(=O)N2Cc3ccccc3C[C@H]2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1;5.0
CHEMBL98745;Mus musculus;O=C1N[C@@H]2C(=C[C@H](O)[C@@H](O)[C@H]2O)c2cc3c(c(O)c21)OCO3;32.0
CHEMBL98472;Rattus norvegicus;N=C(N)c1cccc(C(=O)N[C@@H](C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c2ccccc2)c1;5.0
CHEMBL98;Mus musculus;O=C(CCCCCCC(=O)Nc1ccccc1)NO;10.0
CHEMBL97777;Rattus norvegicus;CC(C)c1nc(CN(C)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC2COC3OCCC23)C(C)C)cs1;11.2
CHEMBL97585;Rattus norvegicus;CC(C)[C@@H]1[C@H](OC(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN2C[C@H]3CCS[C@H]3C[C@H]2C(=O)NC(C)(C)C)CCS1(=O)=O;3.5
CHEMBL96763;Rattus norvegicus;O=C1NCc2c(-c3ccccc3Cl)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl;0.0
CHEMBL96653;Rattus norvegicus;CN1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1;9.2
CHEMBL96565;Rattus norvegicus;O=C1NCc2c(-c3ccc(F)cc3Cl)cc(C3CCN(C4CC4)CC3)cc2N1c1c(Cl)cccc1Cl;59.3
CHEMBL96487;Rattus norvegicus;O=C1NCc2c(-c3ccccc3Cl)cc(N3CCNCC3)cc2N1c1c(Cl)cccc1Cl;22.7
CHEMBL96451;Rattus norvegicus;CCCc1cc(Oc2ccc(F)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1;66.0
CHEMBL96417;Mus musculus;CC#CCOc1ccc(S(=O)(=O)N[C@@H](C(=O)NO)C(C)O)cc1;100.0
CHEMBL96345;Rattus norvegicus;CCN1CCC(c2cc(-c3ccc(F)cc3Cl)c3c(c2)N(c2c(Cl)cccc2Cl)C(=O)NC3)CC1;20.0
CHEMBL96224;Rattus norvegicus;COc1ccc(NS(=O)(=O)C(F)(F)F)cc1C[C@@H]1COc2ccc(OCc3nc4cc(F)c(F)cc4s3)cc2[C@@H]1O;46.0
CHEMBL96206;Rattus norvegicus;COc1ccc(NS(=O)(=O)C(F)(F)F)cc1C[C@@H]1COc2ccc(OCc3ccc4ccc(Cl)cc4n3)cc2[C@@H]1O;53.0
CHEMBL96143;Rattus norvegicus;CCCc1cc(Oc2ccc(F)c(C)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1;20.0
